audit_id,timestamp,product_name,mrp,net_quantity,status,overall_score,violations_count,source
AUD-MANUAL-1789158028790,2026-09-11T20:20:28.790263,be i,₹ 2.00,500 g,COMPLIANT,100,0,inspector_manual_verification
AUD-MANUAL-1789158005224,2026-09-11T20:20:05.224413,be i,₹ 2.00,500 g,NON_COMPLIANT,75,1,inspector_manual_verification
AUD-1789158004318,2026-09-11T20:20:04.473046,CTAL,₹ 70.05,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-MANUAL-1789157877620,2026-09-11T20:17:57.620677,BF m SNR Cy,₹ 3,3 units,COMPLIANT,100,0,inspector_manual_verification
AUD-1789157876651,2026-09-11T20:17:56.783738,Mtd.byTCLimited 37 J.LNehruRoad,₹ 42,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-MANUAL-1789157610171,2026-09-11T20:13:30.171953,CRUNCH PACKAGED COMMODITY,₹ 40.00,8 fl oz,NON_COMPLIANT,72,1,inspector_manual_verification
AUD-MANUAL-1789157610024,2026-09-11T20:13:30.024403,CRUNCH PACKAGED COMMODITY,₹ 40.00,200 g,COMPLIANT,100,0,inspector_manual_verification
AUD-MANUAL-1789157609943,2026-09-11T20:13:29.943719,PREMIUM TEA,₹ 120.00,250 g,COMPLIANT,100,0,inspector_manual_verification
AUD-1789157609789,2026-09-11T20:13:29.809013,test_package.jpg,Not Declared,None None,NON_COMPLIANT,0,4,backend_ocr
AUD-TEXT-1789157604218,2026-09-11T20:13:24.218202,SHINE SHAMPOO,₹ 300,None None,NON_COMPLIANT,25,3,backend_text_eval
AUD-TEXT-1789157604173,2026-09-11T20:13:24.173353,SUPER CRUNCH BISCUITS,₹ 40.00,200 g,COMPLIANT,100,0,backend_text_eval
AUD-MANUAL-1789157498823,2026-09-11T20:11:38.823425,PREMIUM TEA,₹ 120.00,250 g,COMPLIANT,100,0,inspector_manual_verification
AUD-1789157498685,2026-09-11T20:11:38.698168,test_package.jpg,Not Declared,None None,NON_COMPLIANT,0,4,backend_ocr
AUD-TEXT-1789157492836,2026-09-11T20:11:32.836526,SHINE SHAMPOO,₹ 300,None None,NON_COMPLIANT,25,3,backend_text_eval
AUD-TEXT-1789157492799,2026-09-11T20:11:32.799785,SUPER CRUNCH BISCUITS,₹ 40.00,200 g,COMPLIANT,100,0,backend_text_eval
AUD-MANUAL-1789156876431,2026-09-11T20:01:16.431274,PREMIUM TEA,₹ 120.00,250 g,COMPLIANT,100,0,inspector_manual_verification
AUD-1789156876288,2026-09-11T20:01:16.303429,test_package.jpg,Not Declared,None None,NON_COMPLIANT,0,4,backend_ocr
AUD-TEXT-1789156870717,2026-09-11T20:01:10.717673,SHINE SHAMPOO,₹ 300,None None,NON_COMPLIANT,25,3,backend_text_eval
AUD-TEXT-1789156870664,2026-09-11T20:01:10.665047,SUPER CRUNCH BISCUITS,₹ 40.00,200 g,COMPLIANT,100,0,backend_text_eval
AUD-1789153531054,2026-09-11T19:05:31.160205,CURL CREAM,₹ 99.00,50 g,COMPLIANT,100,0,backend_ocr
AUD-1789153432496,2026-09-11T19:03:52.688157,SKU 975887,₹ 290.00,1 N,COMPLIANT,100,0,backend_ocr
AUD-MANUAL-1789153360299,2026-09-11T19:02:40.299946,BF m SNR Cy,₹ 2.00,3 units,COMPLIANT,100,0,inspector_manual_verification
AUD-1789153343068,2026-09-11T19:02:23.116433,Mtd.byTCLimited 37 J.LNehruRoad,₹ 70.05,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-1789153232126,2026-09-11T19:00:32.157695,Mtd.byTCLimited 37 J.LNehruRoad,₹ 42,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-MANUAL-1789153152101,2026-09-11T18:59:12.101516,In o mat : - G,₹ 290.00,g,COMPLIANT,100,0,inspector_manual_verification
AUD-1789153128315,2026-09-11T18:58:48.411514,ISPIRE,₹ 46.00,201102 U,COMPLIANT,100,0,backend_ocr
AUD-1789152300992,2026-09-11T18:45:01.061293,三Notebook,₹ 25.00,80 Pages / Units,COMPLIANT,100,0,backend_ocr
AUD-1789152224023,2026-09-11T18:43:44.202140,Pages 428,₹ 110.00,428 Pages / Units,COMPLIANT,100,0,backend_ocr
AUD-1789152157508,2026-09-11T18:42:38.031568,Mian ts,₹ 11,70 g,COMPLIANT,94,0,backend_ocr
AUD-MANUAL-1789151674827,2026-09-11T18:34:34.827268,Mago Nater copy 1g seid CODING,₹ 14.00,70 g,COMPLIANT,100,0,inspector_manual_verification
AUD-1789151509992,2026-09-11T18:31:50.065727,CURL STYLING GEL,₹ 99.00,50 g,NON_COMPLIANT,75,1,backend_ocr
AUD-1789151404776,2026-09-11T18:30:04.851046,CURL STYLING GEL,₹ 99.00,50 g,NON_COMPLIANT,75,1,backend_ocr
AUD-1789151031352,2026-09-11T18:23:51.433631,Amul,₹ 650.00,1 l,COMPLIANT,94,0,backend_ocr
AUD-1789150948250,2026-09-11T18:22:28.304904,Mtd.byTCLimited 37 J.LNehruRoad,₹ 70.05,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-1789150773206,2026-09-11T18:19:33.252832,CTAL,₹ 70.05,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-1789150630929,2026-09-11T18:17:11.080031,CTAL,₹ 70.05,None None,NON_COMPLIANT,72,1,backend_ocr
AUD-1789150184843,2026-09-11T18:09:44.940216,otajh,₹ 746.00,2112 U,COMPLIANT,97,0,backend_ocr
AUD-1789150024936,2026-09-11T18:07:05.022278,ISPIRE,₹ 5,100 N,COMPLIANT,100,0,backend_ocr
